KEYWORD,INTENT,GROUPS,LABELS,VOLUME,YOY TREND,SUM TOP10 CTR,[M] FEATURES,[D] FEATURES,[M] RANK,[M] CHANGE,[M] PAGE,[M] BEST RANK,[M] BEST RANK DATE,[M] AIO Brand Mention,[M] AIO Cited Rank,[M] AIO Cited Rank Change,[M] AIO Citation Status,[M] AIO Cited URL,[D] RANK,[D] CHANGE,[D] PAGE,[D] BEST RANK,[D] BEST RANK DATE,[D] AIO Brand Mention,[D] AIO Cited Rank,[D] AIO Cited Rank Change,[D] AIO Citation Status,[D] AIO Cited URL,DIFFICULTY,OPPORTUNITY,ADDED ON
stoupa villas,transactional,Greece,,140,21%,68%,"Video Carousel, Images pack, Hotels",Hotels,2,-,https://www.solmarvillas.com/destinations/greece-villas/mainland-greece/peloponnese/stoupa,2,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,2,-,https://www.solmarvillas.com/destinations/greece-villas/mainland-greece/peloponnese/stoupa,2,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
avithos villas,transactional,Greece,,0,0%,72%,"Images pack, Hotels","Images pack, Hotels",1,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/kefalonia/avithos,1,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,1,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/kefalonia/avithos,1,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
beach villas in crete villas,transactional,Greece | AI Overview Mobile,,0,0%,0%,"Images pack, Hotels, AI Overview","Images pack, Hotels",3,-,https://www.solmarvillas.com/destinations/greece-villas/crete/beach-villas-in-crete,3,2025-10-16,Only Others Mentioned,Not Cited,-,,Not Cited,3,-,https://www.solmarvillas.com/destinations/greece-villas/crete/beach-villas-in-crete,3,2025-10-16,Only Others Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
olhos de agua villas,transactional,Portugal,,70,-36%,67%,"Images pack, Questions, Hotels","Images pack, Hotels",2,-,https://www.solmarvillas.com/destinations/portugal-villas/algarve/olhos-de-agua,2,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,2,-,https://www.solmarvillas.com/destinations/portugal-villas/algarve/olhos-de-agua,2,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
port daddaia villas,transactional,Spain,Misspelled,0,0%,76%,"Images pack, Hotels","Images pack, Hotels",3,-,https://www.solmarvillas.com/destinations/spain-villas/balearic-islands/menorca/port-daddaia,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,3,-,https://www.solmarvillas.com/destinations/spain-villas/balearic-islands/menorca/port-daddaia,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
sarlata villas,transactional,Greece,,70,-67%,99%,Images pack,"Knowledge Graph, Questions",3,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/kefalonia/sarlata/villa-sarlata-sea-view,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,3,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/kefalonia/sarlata/villa-sarlata-sea-view,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
xaghra villas,transactional,Malta and Gozo,,40,-67%,68%,"Video Carousel, Images pack, Hotels","Images pack, Hotels",3,-,https://www.solmarvillas.com/destinations/malta-gozo-villas/gozo/xaghra/kikka,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,3,-,https://www.solmarvillas.com/destinations/malta-gozo-villas/gozo/xaghra/kikka,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
beach villas in cyprus villas,transactional,Cyprus | AI Overview Mobile,,0,0%,67%,"Video Carousel, Images pack, Questions, Hotels, AI Overview","Images pack, Hotels",4,-,https://www.solmarvillas.com/destinations/cyprus-villas,4,2025-10-16,Only Others Mentioned,Not Cited,-,,Not Cited,3,-,https://www.solmarvillas.com/destinations/cyprus-villas,3,2025-10-16,Only Others Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
englewood villas,transactional,USA | AI Overview Desktop,,10,0%,87%,Images pack,"Images pack, AI Overview",1,-,https://www.solmarvillas.com/destinations/usa-villas/florida/gulf-coast/englewood,1,2025-10-16,Only Others Mentioned,Not Cited,-,,Not Cited,1,-,https://www.solmarvillas.com/destinations/usa-villas/florida/gulf-coast/englewood,1,2025-10-16,Only Others Mentioned,1,-,,https://www.solmarvillas.com/destinations/usa-villas/florida/gulf-coast/englewood,Top10,0,2025-10-16
son bou villas,transactional,Spain,,320,0%,68%,"Images pack, Hotels","Images pack, Hotels",2,-,https://www.solmarvillas.com/destinations/spain-villas/balearic-islands/menorca/son-bou,2,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,1,-,https://www.solmarvillas.com/destinations/spain-villas/balearic-islands/menorca/son-bou,1,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
hanioti villas,transactional,Greece,,30,-50%,98%,"Video Carousel, Images pack","Images pack, Knowledge Graph, Questions",3,-,https://www.solmarvillas.com/destinations/greece-villas/mainland-greece/halkidiki/hanioti,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,3,-,https://www.solmarvillas.com/destinations/greece-villas/mainland-greece/halkidiki/hanioti,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
mainland spain villas,transactional,Spain,,70,22%,92%,"Images pack, Questions","Images pack, Questions",2,-,https://www.solmarvillas.com/destinations/spain-villas/mainland-spain,2,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,2,-,https://www.solmarvillas.com/destinations/spain-villas/mainland-spain,2,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
koskinou villas,transactional,Greece,,10,0%,68%,"Images pack, Hotels","Images pack, Hotels",2,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/rhodes/koskinou/aegean-blue-villa,2,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,2,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/rhodes/koskinou/aegean-blue-villa,2,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
cyprus self catering holidays in cyprus,transactional,Cyprus | AI Overview Desktop | AI Overview Mobile,,0,0%,75%,"Video Carousel, Images pack, AI Overview",AI Overview,4,-,https://www.solmarvillas.com/destinations/cyprus-villas/cyprus-self-catering-holidays,4,2025-10-16,Only Others Mentioned,Not Cited,-,,Not Cited,3,-,https://www.solmarvillas.com/destinations/cyprus-villas/cyprus-self-catering-holidays,3,2025-10-16,Only Others Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
cortona and montepulciano villas,transactional,Italy | AI Overview Desktop,,0,0%,74%,"Images pack, Local pack","Images pack, AI Overview",1,-,https://www.solmarvillas.com/destinations/italy-villas/tuscany/cortona-and-montepulciano,1,2025-10-16,Only Others Mentioned,Not Cited,-,,Not Cited,1,-,https://www.solmarvillas.com/destinations/italy-villas/tuscany/cortona-and-montepulciano,1,2025-10-16,Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
svoronata villas,transactional,Greece,,20,-50%,68%,"Images pack, Hotels","Images pack, Hotels",2,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/kefalonia/svoronata,2,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,1,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/kefalonia/svoronata,1,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
paleokastritsa villas,transactional,Greece,,110,0%,72%,"Images pack, Hotels","Images pack, Hotels",3,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/corfu/paleokastritsa,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,3,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/corfu/paleokastritsa,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
playa paraiso villas,transactional,Spain,,10,0%,98%,"Images pack, Questions","Images pack, Knowledge Graph",3,-,https://www.solmarvillas.com/destinations/spain-villas/canary-islands/tenerife/playa-paraiso/villa-oleada,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,3,-,https://www.solmarvillas.com/destinations/spain-villas/canary-islands/tenerife/playa-paraiso/villa-oleada,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
ghasri villas,transactional,Malta and Gozo,,0,0%,68%,"Images pack, Hotels","Images pack, Hotels",1,-,https://www.solmarvillas.com/destinations/malta-gozo-villas/gozo/ghasri/ta-guza,1,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,1,-,https://www.solmarvillas.com/destinations/malta-gozo-villas/gozo/ghasri/ta-guza,1,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
mgarr villas,informational,Malta and Gozo,,0,0%,68%,"Images pack, Hotels","Images pack, Questions, Hotels",1,-,https://www.solmarvillas.com/destinations/malta-gozo-villas/gozo/mgarr,1,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,1,-,https://www.solmarvillas.com/destinations/malta-gozo-villas/gozo/mgarr,1,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
skala villas,transactional,Greece,,720,-33%,100%,Images pack,"Images pack, Questions",1,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/kefalonia/skala,1,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,1,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/kefalonia/skala,1,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
sivota bay villas,transactional,Greece,,10,-80%,99%,"Video Carousel, Images pack","Images pack, Knowledge Graph",3,-,https://www.solmarvillas.com/destinations/greece-villas/mainland-greece/ionian-coast/sivota-bay,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,3,-,https://www.solmarvillas.com/destinations/greece-villas/mainland-greece/ionian-coast/sivota-bay,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
katouna villas,informational,Greece | AI Overview Desktop | AI Overview Mobile,,10,0%,62%,"Video Carousel, Images pack, Local pack, AI Overview","Images pack, AI Overview",2,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/lefkas/katouna,2,2025-10-16,Only Others Mentioned,Not Cited,-,,Not Cited,3,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/lefkas/katouna,3,2025-10-16,Only Others Mentioned,1,-,,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/lefkas/katouna,Top10,0,2025-10-16
corfu town villas,informational,Greece,,90,-36%,99%,"Video Carousel, Images pack","Images pack, Knowledge Graph",4,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/corfu,4,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,3,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/corfu,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
son parc villas,transactional,Spain,,20,-33%,68%,"Images pack, Hotels","Images pack, Hotels",3,-,https://www.solmarvillas.com/destinations/spain-villas/balearic-islands/menorca/son-parc,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,3,-,https://www.solmarvillas.com/destinations/spain-villas/balearic-islands/menorca/son-parc,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
xigia villas,transactional,Greece | AI Overview Desktop,,0,0%,71%,"Images pack, Hotels","Images pack, Knowledge Graph, AI Overview",3,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/zakynthos/xigia,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,3,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/zakynthos/xigia,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
cala blanca villas,informational,Spain,,50,-29%,67%,"Video Carousel, Images pack, Questions, Hotels","Images pack, Questions, Hotels",2,-,https://www.solmarvillas.com/destinations/spain-villas/balearic-islands/menorca/cala-blanca,2,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,2,-,https://www.solmarvillas.com/destinations/spain-villas/balearic-islands/menorca/cala-blanca,2,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
beachfront villas in menorca,transactional,Spain,,140,-33%,68%,"Video Carousel, Images pack, Hotels",Hotels,1,-,https://www.solmarvillas.com/destinations/spain-villas/balearic-islands/menorca/beachfront-villas-in-menorca,1,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,1,-,https://www.solmarvillas.com/destinations/spain-villas/balearic-islands/menorca/beachfront-villas-in-menorca,1,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
villas with heated pools in cyprus villas,transactional,Cyprus | AI Overview Desktop,,0,0%,83%,"Video Carousel, Images pack, Local pack","Images pack, Local pack, AI Overview",1,-,https://www.solmarvillas.com/destinations/cyprus-villas/villas-with-heated-pools-in-cyprus,1,2025-10-16,Only Others Mentioned,Not Cited,-,,Not Cited,1,-,https://www.solmarvillas.com/destinations/cyprus-villas/villas-with-heated-pools-in-cyprus,1,2025-10-16,Only Others Mentioned,2,-,,https://www.solmarvillas.com/destinations/cyprus-villas/villas-with-heated-pools-in-cyprus,Top10,0,2025-10-16
finestrat villas,transactional,Spain,,10,0%,71%,"Video Carousel, Images pack, Hotels","Images pack, Questions, Hotels",3,-,https://www.solmarvillas.com/destinations/spain-villas/mainland-spain/costa-blanca/finestrat,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,3,-,https://www.solmarvillas.com/destinations/spain-villas/mainland-spain/costa-blanca/finestrat,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
dassia villas,transactional,Greece,,70,-22%,52%,"Images pack, Questions, Hotels","Images pack, Questions, Hotels",2,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/corfu/dassia,2,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,2,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/corfu/dassia,2,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
lakithra villas,transactional,Greece,,0,0%,68%,"Images pack, Hotels","Images pack, Hotels",2,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/kefalonia/lakithra,2,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,2,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/kefalonia/lakithra,2,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
alcudia villas on the beach villas,transactional,Spain | AI Overview Desktop | AI Overview Mobile,,0,0%,69%,"Images pack, Hotels, AI Overview","Questions, Hotels, AI Overview",1,-,https://www.solmarvillas.com/destinations/spain-villas/balearic-islands/majorca/alcudia/alcudia-villas-on-the-beach,1,2025-10-16,Only Others Mentioned,Not Cited,-,,Not Cited,1,-,https://www.solmarvillas.com/destinations/spain-villas/balearic-islands/majorca/alcudia/alcudia-villas-on-the-beach,1,2025-10-16,Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
tenerife villas,transactional,Spain,,4400,23%,72%,"Video Carousel, Images pack, Questions, Hotels","Images pack, Hotels",4,-,https://www.solmarvillas.com/destinations/spain-villas/canary-islands/tenerife,4,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,3,-,https://www.solmarvillas.com/destinations/spain-villas/canary-islands/tenerife,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
fiscardo villas,transactional,Greece,,590,-18%,68%,"Video Carousel, Images pack, Questions, Hotels","Images pack, Questions, Hotels",3,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/kefalonia/fiscardo,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,3,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/kefalonia/fiscardo,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
paramonas villas,transactional,Greece,,10,-100%,76%,"Images pack, Hotels","Images pack, Hotels",3,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/corfu/paramonas/villa-alkyoni-paramonas,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,2,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/corfu/paramonas/villa-alkyoni-paramonas,2,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
cala llonga villas,transactional,Spain,,140,-33%,68%,"Video Carousel, Images pack, Hotels","Images pack, Hotels",3,-,https://www.solmarvillas.com/destinations/spain-villas/balearic-islands/menorca/cala-llonga,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,3,-,https://www.solmarvillas.com/destinations/spain-villas/balearic-islands/menorca/cala-llonga,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
lourdas villas,transactional,Greece,Seasonal,70,-22%,77%,"Images pack, Hotels",Hotels,3,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/kefalonia/lourdas,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,3,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/kefalonia/lourdas,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
frigiliana villas,transactional,Spain,,210,-34%,67%,"Video Carousel, Images pack, Hotels","Images pack, Questions, Hotels",3,-,https://www.solmarvillas.com/destinations/spain-villas/mainland-spain/andalucia/frigiliana,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,3,-,https://www.solmarvillas.com/destinations/spain-villas/mainland-spain/andalucia/frigiliana,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
zaton and surroundings villas,transactional,Croatia,,0,0%,79%,"Images pack, Local pack","Images pack, Local pack, Questions",2,-,https://www.solmarvillas.com/destinations/croatia-villas/dubrovnik-region/zaton-and-surroundings/villa-mount-vista,2,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,2,-,https://www.solmarvillas.com/destinations/croatia-villas/dubrovnik-region/zaton-and-surroundings/villa-mount-vista,2,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
agia pelagia villas,transactional,Greece,,20,-33%,68%,"Video Carousel, Images pack, Hotels","Images pack, Hotels",3,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/crete/agia-pelagia,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,3,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/crete/agia-pelagia,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
benalmadena villas,transactional,Spain,,1600,-16%,68%,"Images pack, Hotels","Images pack, Hotels",7,-,https://www.solmarvillas.com/destinations/spain-villas/mainland-spain/costa-del-sol/benalmadena,7,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,7,-,https://www.solmarvillas.com/destinations/spain-villas/mainland-spain/costa-del-sol/benalmadena,7,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,7,2025-10-16
tamariu villas,transactional,Spain | AI Overview Mobile,,1000,519%,67%,"Images pack, Hotels, AI Overview","Images pack, Hotels",4,-,https://www.solmarvillas.com/destinations/spain-villas/mainland-spain/costa-brava/tamariu,4,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,4,-,https://www.solmarvillas.com/destinations/spain-villas/mainland-spain/costa-brava/tamariu,4,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,6,2025-10-16
corfu villas,transactional,Greece | AI Overview Mobile,,2400,-33%,64%,"Video Carousel, Images pack, Hotels, AI Overview",Hotels,4,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/corfu,4,2025-10-16,Only Others Mentioned,Not Cited,-,,Not Cited,4,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/corfu,4,2025-10-16,Only Others Mentioned,Not Cited,-,,Not Cited,Top10,6,2025-10-16
